,時限,教室,回生
740,木1,共西42,全回生
741,木1,1共33,全回生
742,木1,4共12,全回生
743,木1,共西41,全回生
744,木1,情報メ301(CALL),全回生
745,木1,4共20,全回生
746,木1,共北3A,２回生以上
747,木2,共西32,２回生以上
748,木2,4共31,全回生
749,木2,共西41,全回生
750,木2,吉田南総合館東334演習室,２回生以上
751,木2,共北25,２回生以上
752,木2,教育推進・学生支援部棟KUINEP講義室,全回生
753,木2,共北3A,全回生
754,木2,共西22,主として１・２回生
755,木2,共北38,２回生以上
756,木2,総合研究2号館第8講義室,２回生以上
757,木2,共北11,２回生以上
758,木2,共北34,２回生以上
759,木2・金2,1共32,主として１回生
760,木2・金2,共東31,主として１回生
761,木2・金2,1共02,主として１回生
762,木2・金2,共東41,主として１回生
763,木2,共北3D,主として２回生
764,木2,4共11,主として１回生
765,木2,総合研究9号館西棟1階W1講義室,主として１回生
766,木2,総合研究9号館西棟2階W2講義室,主として１回生
767,木2,総合研究9号館西棟2階W201講義室,主として１回生
768,木2,総合研究9号館西棟2階W202講義室,主として１回生
769,木2,総合研究9号館 4F W4,主として１回生
770,木2,理系総合実習室(2共),２回生以上
771,木2,共北12,主として１・２回生
772,木2,1共01,主として１・２回生
773,木2,共北27,全回生
774,木2,共北23(CALL),１回生
775,木2,4共14,１回生
776,木2,共北21(CALL),１回生
777,木2,共西42,１回生
778,木2,共西23,１回生
779,木2,共北36,１回生
780,木2,共北24(CALL),１回生
781,木2,共北3C,１回生
782,木2,共北33,１回生
783,木2,1共23,１回生
784,木2,1共22,１回生
785,木2,教育院棟演習室21,１回生
786,木2,教育院棟演習室24,１回生
787,木2,共東21,全回生
788,木2,共西21,全回生
789,木2,共西11,全回生
790,木2,共西01,全回生
791,木2,共西02,全回生
792,木2,1共24(CALL),全回生
793,木2,共西03,全回生
794,木2,共西12,全回生
795,木2,情報メ301(CALL),全回生
796,木2,総人1305(CALL),全回生
797,木2,4共22,全回生
798,木2,1共33,２回生以上
799,木2,4共12,２回生以上
800,木2,4共20,２回生以上
801,木2,吉田国際交流会館南講義室1,全回生
802,木2,情報メ203・204,１回生
803,木2,教育院棟演習室22,２回生以上
804,木2,共北28,全回生
805,木2,共東11,全回生
806,木3,共南11,全回生
